step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.3654434382915497,0.9285714285714286,,,,,,,,2026-04-14T11:48:38.5440000Z
2,0.41718927025794983,0.9285714285714286,,,,,,,,2026-04-14T11:48:51.4300000Z
3,0.29082807898521423,0.9484126984126984,,,,,,,,2026-04-14T11:48:52.6390000Z
4,0.553898274898529,0.873015873015873,,,,,,,,2026-04-14T11:48:58.3720000Z
5,0.5285866260528564,0.9007936507936508,,,,,,,,2026-04-14T11:48:59.5940000Z
6,0.4182117283344269,0.8968253968253969,,,,,,,,2026-04-14T11:49:00.7940000Z
7,0.5051444172859192,0.9166666666666666,,,,,,,,2026-04-14T11:49:01.9970000Z
8,0.4392077326774597,0.9087301587301587,,,,,,,,2026-04-14T11:49:03.4890000Z
9,0.42937609553337097,0.9206349206349206,,,,,,,,2026-04-14T11:49:07.4270000Z
10,0.3799770772457123,0.9246031746031746,,0.45032887988620335,0.9126984126984127,,,,,2026-04-14T11:49:13.3830000Z
11,0.33174654841423035,0.9325396825396826,,,,,,,,2026-04-14T11:49:15.5240000Z
12,0.42802053689956665,0.9007936507936508,,,,,,,,2026-04-14T11:49:16.7320000Z
13,0.3531222641468048,0.9444444444444444,,,,,,,,2026-04-14T11:49:17.9320000Z
14,0.4139682352542877,0.9365079365079365,,,,,,,,2026-04-14T11:49:19.1330000Z
15,0.2860439717769623,0.9642857142857143,,,,,,,,2026-04-14T11:49:20.3310000Z
16,0.3305665850639343,0.9325396825396826,,,,,,,,2026-04-14T11:49:21.8350000Z
17,0.48045894503593445,0.8571428571428571,,,,,,,,2026-04-14T11:49:23.0400000Z
18,0.4062647223472595,0.9285714285714286,,,,,,,,2026-04-14T11:49:24.2480000Z
19,0.43812403082847595,0.8849206349206349,,,,,,,,2026-04-14T11:49:25.4640000Z
20,0.32568588852882385,0.9484126984126984,,0.43150543031238375,0.9007936507936508,,,,,2026-04-14T11:49:30.1000000Z
21,0.31568899750709534,0.9523809523809523,,,,,,,,2026-04-14T11:49:32.0910000Z
22,0.400256872177124,0.9087301587301587,,,,,,,,2026-04-14T11:49:33.3240000Z
23,0.3276048004627228,0.9047619047619048,,,,,,,,2026-04-14T11:49:34.5270000Z
24,0.5129023790359497,0.8611111111111112,,,,,,,,2026-04-14T11:49:35.7470000Z
25,0.29428306221961975,0.9484126984126984,,,,,,,,2026-04-14T11:49:37.2570000Z
26,0.29802075028419495,0.9325396825396826,,,,,,,,2026-04-14T11:49:38.4660000Z
27,0.3394341468811035,0.9087301587301587,,,,,,,,2026-04-14T11:49:39.6710000Z
28,0.3973409831523895,0.9206349206349206,,,,,,,,2026-04-14T11:49:40.8870000Z
29,0.41355273127555847,0.8968253968253969,,,,,,,,2026-04-14T11:49:42.4000000Z
30,0.3268989324569702,0.9365079365079365,,0.3898528416951497,0.8928571428571429,,,,,2026-04-14T11:49:46.7570000Z
31,0.5762557983398438,0.8412698412698413,,,,,,,,2026-04-14T11:49:49.3500000Z
32,0.48878854513168335,0.8571428571428571,,,,,,,,2026-04-14T11:49:50.2970000Z
33,0.3850502371788025,0.9087301587301587,,,,,,,,2026-04-14T11:49:51.5290000Z
34,0.3253694176673889,0.9404761904761905,,,,,,,,2026-04-14T11:49:52.7390000Z
35,0.3428861200809479,0.9166666666666666,,,,,,,,2026-04-14T11:49:53.9420000Z
36,0.5063916444778442,0.873015873015873,,,,,,,,2026-04-14T11:49:55.4640000Z
37,0.3748761713504791,0.8928571428571429,,,,,,,,2026-04-14T11:49:56.6920000Z
38,0.4361353814601898,0.9007936507936508,,,,,,,,2026-04-14T11:49:57.9070000Z
39,0.38426142930984497,0.8928571428571429,,,,,,,,2026-04-14T11:49:59.1170000Z
40,0.421360045671463,0.8928571428571429,,0.38332785500420463,0.8849206349206349,,,,,2026-04-14T11:50:03.7570000Z
41,0.31446292996406555,0.9365079365079365,,,,,,,,2026-04-14T11:50:06.3340000Z
42,0.44789138436317444,0.9007936507936508,,,,,,,,2026-04-14T11:50:07.5390000Z
43,0.33572059869766235,0.9285714285714286,,,,,,,,2026-04-14T11:50:08.7500000Z
44,0.3352064788341522,0.9246031746031746,,,,,,,,2026-04-14T11:50:09.9530000Z
45,0.4090537428855896,0.9087301587301587,,,,,,,,2026-04-14T11:50:11.1570000Z
46,0.39633047580718994,0.8849206349206349,,,,,,,,2026-04-14T11:50:12.3680000Z
47,0.374598890542984,0.9007936507936508,,,,,,,,2026-04-14T11:50:13.8810000Z
