step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,4.1386027336120605,0.3917525773195876,,,,,,,,2026-04-13T22:22:32.2000000Z
2,4.240206718444824,0.35555555555555557,,,,,,,,2026-04-13T22:22:55.5520000Z
3,4.199732780456543,0.3867924528301887,,,,,,,,2026-04-13T22:22:58.8130000Z
4,4.397895812988281,0.375,,,,,,,,2026-04-13T22:22:59.6950000Z
5,3.995321035385132,0.39090909090909093,,,,,,,,2026-04-13T22:23:02.9570000Z
6,4.273762226104736,0.3541666666666667,,,,,,,,2026-04-13T22:23:04.1320000Z
7,4.243929386138916,0.43157894736842106,,,,,,,,2026-04-13T22:23:05.8800000Z
8,4.116457462310791,0.36585365853658536,,,,,,,,2026-04-13T22:23:09.1470000Z
9,3.905164957046509,0.3557692307692308,,,,,,,,2026-04-13T22:23:10.3490000Z
10,3.97690486907959,0.422680412371134,,3.968810558319092,0.4375,,,,,2026-04-13T22:23:17.1550000Z
11,3.761375904083252,0.3627450980392157,,,,,,,,2026-04-13T22:23:19.2740000Z
12,3.749080181121826,0.3770491803278688,,,,,,,,2026-04-13T22:23:20.4600000Z
13,3.67795729637146,0.391304347826087,,,,,,,,2026-04-13T22:23:21.7990000Z
14,3.49670672416687,0.4270833333333333,,,,,,,,2026-04-14T05:55:25.9890000Z
15,3.4489967823028564,0.3949579831932773,,,,,,,,2026-04-14T05:55:49.0740000Z
16,3.316305160522461,0.43157894736842106,,,,,,,,2026-04-14T05:55:51.4710000Z
17,3.2819769382476807,0.43137254901960786,,,,,,,,2026-04-14T05:55:54.7640000Z
18,3.359445333480835,0.3793103448275862,,,,,,,,2026-04-14T05:55:58.0850000Z
19,3.1875193119049072,0.4659090909090909,,,,,,,,2026-04-14T05:56:01.3990000Z
20,2.6502110958099365,0.42342342342342343,,3.0518016616503396,0.46875,,,,,2026-04-14T05:56:08.1030000Z
