fold,MAE,RMSE,R2
1,679388.5,940774.2951590461,0.6069145202636719
2,718821.375,960535.0274425186,0.7074781060218811
3,727971.8125,1007841.6007607544,0.7139216661453247
4,635231.9375,909790.4326953543,0.7323486804962158
5,755331.5625,1125605.5380105413,0.6073064804077148
